Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
0.0;2025-05-11 08:32:00;1015.6478647513554;34.90294545091044;-0.14838273558992698;0.6382960449218746;-0.411802685546875;1.1875240234375;-0.016254211801526718;0.0053292497709923675;-0.0261133238778626;-52.8;-31.2;-44.85;0.0;0.0;0.0
0.0528;2025-05-11 08:32:00;1015.6481309488793;34.90462367741142;-0.15059372809814509;0.4084526855468731;-1.1563994018554686;-0.5770026000976562;-0.03810413586259542;0.018385911709923666;0.013856049404580155;-52.05;-30.45;-45.6;0.0;0.0;0.0
0.0915;2025-05-11 08:32:01;1015.6481309488793;34.90462367741142;-0.15059372809814509;0.31029041748046815;-2.6767174560546874;-0.8906430175781249;-0.10578560795419849;0.04636447300763359;-0.029577336229007635;-51.15;-28.799999999999997;-45.449999999999996;0.0;0.0;0.0
0.1295;2025-05-11 08:32:01;1015.5568317428666;34.90462367741142;0.6077498603079634;9.511207397460934;0.6967126831054687;0.8714894042968749;-0.3589249720763359;0.11857580740458017;-0.07487595928244276;-51.9;-28.349999999999998;-45.449999999999996;0.0;0.0;0.0
0.1745;2025-05-11 08:32:01;1015.5568317428666;34.90462367741142;0.6077498603079634;17.416861279296874;0.22266075439453123;-3.0526071166992184;0.01279019945038168;0.05275957273282444;-0.1974487040152672;-51.75;-28.2;-45.3;0.0;0.0;0.0
0.2121;2025-05-11 08:32:01;1015.5568317428666;34.90238604207677;0.6077498603079634;38.59836336669921;-0.3806780639648437;0.9624690673828125;-0.9115681733282444;0.13003369441221374;-0.19958040392366413;-51.15;-29.099999999999998;-43.65;0.0;0.0;0.0
0.2459;2025-05-11 08:32:01;1015.5564768306773;34.90238604207677;0.6106979168001458;53.80872651367187;0.12210428466796874;-2.0159177978515626;-1.5041807478625955;0.2552710640305344;0.000799387465648855;-50.25;-28.95;-44.55;0.0;0.0;0.0
0.2883;2025-05-11 08:32:01;1015.5564768306773;34.90238604207677;0.6106979168001458;60.79979536132812;-3.706224169921875;-1.2114660400390624;-3.095494729480916;-0.07567534674809161;0.1684042927633588;-51.75;-30.45;-48.15;0.0;0.0;0.0
0.3269;2025-05-11 08:32:01;1014.8720971652639;34.90238604207677;6.297008340956061;49.56859537353515;5.164292980957031;2.559401574707031;-3.893016957709924;-0.19291884170992368;0.20943951600000002;-51.0;-28.5;-51.15;0.0;0.0;0.0
0.3791;2025-05-11 08:32:01;1014.8720971652639;34.90238604207677;6.297008340956061;40.26951612548827;3.7038299682617186;6.1650692749023435;-3.9212619814961838;-0.2773874505801527;0.08819908370992367;-51.6;-27.15;-50.55;0.0;0.0;0.0
