Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
31.47;2025-04-18 15:55:14;1012.5573113437805;34.004255159633374;-0.7274419757692074;9.852139831542969;0.20350714111328125;0.0718260498046875;-0.015454824335877864;0.03064318618320611;-0.023715161480916035;0.0;0.0;0.0;0.0;0.0;0.0
31.6;2025-04-18 15:55:15;1012.5558939266817;33.995304618294796;-0.7156330487796891;9.904812268066406;0.17956512451171874;0.1005564697265625;-0.01279019945038168;0.00985911207633588;-0.016254211801526718;0.0;0.0;0.0;0.0;0.0;0.0
31.73;2025-04-18 15:55:15;1012.5566794654103;33.995304618294796;-0.7221776091985754;9.866505041503906;0.6655880615234374;0.15562310791015624;-0.02105053659541985;-0.0034640123511450386;-0.004529862305343512;0.0;0.0;0.0;0.0;0.0;0.0
31.86;2025-04-18 15:55:15;1012.5572109970522;33.99866107129675;-0.726605957513593;9.782707983398437;0.4644751220703125;0.11731588134765625;-0.00799387465648855;0.008526799633587786;-0.0002664624885496183;0.0;0.0;0.0;0.0;0.0;0.0
32.0;2025-04-18 15:55:15;1012.5359745709912;34.00593338613436;-0.5496775062327153;9.17458076171875;-1.7525556152343749;1.158793603515625;-0.006661562213740459;0.024514548946564886;-0.003730474839694657;0.0;0.0;0.0;0.0;0.0;0.0
32.13;2025-04-18 15:55:15;1012.214246678586;34.00593338613436;2.1311231573825573;46.45230061035156;2.8275521606445313;2.032677209472656;0.42607351919083974;-0.029843798717557254;0.07913935909923665;0.0;0.0;0.0;0.0;0.0;0.0
32.26;2025-04-18 15:55:15;1012.2143352504052;34.00649279496801;2.1303850369386943;57.36507177734374;5.2433016357421875;-2.2170307373046874;0.23661868983206108;0.200379791389313;-0.10312098306870231;0.0;0.0;0.0;0.0;0.0;0.0
32.39;2025-04-18 15:55:15;1011.0724611004089;34.01292599655511;11.650634630634848;41.26167141113281;1.68551796875;-0.6727706665039062;1.2390505717557254;-0.32055437372519086;-0.4511209931145039;0.0;0.0;0.0;0.0;0.0;0.0
32.52;2025-04-18 15:55:16;1010.433864791781;34.01292599655511;16.978657232599552;34.83563415527343;1.5107412475585937;0.9002198242187499;2.8114457166870235;-0.5137396779236642;-0.5680980255877862;0.0;0.0;0.0;0.0;0.0;0.0
32.66;2025-04-18 15:55:16;1010.4339532767352;34.01348540538878;16.97791878418394;31.000123095703124;2.4349030883789062;0.9816226806640624;4.243148667664123;-0.6309831728854963;-0.5238652524885496;0.0;0.0;0.0;0.0;0.0;0.0
