Time (s);Timestamp;Pressure (hPa);Temperature (°C);Altitude (m);Accel_X (m/s²);Accel_Y (m/s²);Accel_Z (m/s²);Gyro_X (°/s);Gyro_Y (°/s);Gyro_Z (°/s);Mag_X (µT);Mag_Y (µT);Mag_Z (µT);GPS_Latitude;GPS_Longitude;GPS_Altitude (m)
1.33;2025-05-04 11:22:47;986.7251532236094;40.139012133981296;44.35846094533732;31.71120098876953;0.5530605834960938;-1.0797849487304687;0.9701899208091604;-0.23208882752671758;-0.47723431699236646;-47.1;-27.15;-36.3;0.0;0.0;0.0
1.46;2025-05-04 11:22:47;986.7241930308519;40.13285863681102;44.36666167730662;32.350452832031245;-0.8403647827148437;0.7398083129882812;0.8857213119389313;-0.21316999083969468;0.007727412167938932;-47.699999999999996;-28.2;-35.4;0.0;0.0;0.0
1.59;2025-05-04 11:22:47;986.7776679811554;40.1253066175566;43.909957247434065;31.763873425292967;1.9847931762695312;-0.36631285400390623;0.38983462074809166;0.19052067931297711;-0.2888453375877863;-46.949999999999996;-28.2;-32.85;0.0;0.0;0.0
1.72;2025-05-04 11:22:47;984.9230439140181;40.12111105130414;59.76114848729834;28.70408370361328;-0.3016694091796875;3.902548706054687;0.3893016957709924;-0.12337213219847329;-0.180128642259542;-46.35;-26.4;-32.699999999999996;0.0;0.0;0.0
1.86;2025-05-04 11:22:47;984.1021254351992;40.12111105130414;66.7851318549891;7.5465236328125;-0.46686932373046874;-2.7150246826171873;0.05542419761832062;0.2019785663206107;0.15001838105343512;-46.199999999999996;-28.5;-29.25;0.0;0.0;0.0
1.99;2025-05-04 11:22:49;979.280033763638;40.09453913170522;108.14020230219079;-1.5179238525390624;-1.0079588989257813;-1.0630255371093749;-0.6640245214656488;0.023448698992366415;0.13562940667175574;-46.5;-15.45;-40.5;0.0;0.0;0.0
2.11;2025-05-04 11:22:49;978.6356132485727;40.09118267870325;113.6793439869588;-1.2569558715820313;0.0909796630859375;-0.18914193115234373;-0.5950107369312978;-0.18412557958778628;0.09645942085496184;-48.0;-17.7;-42.0;0.0;0.0;0.0
2.24;2025-05-04 11:22:49;978.6361346616053;40.09453913170522;113.67486096719716;-1.01514150390625;-0.18435352783203124;0.3806780639648437;-0.8028514780000001;0.1263032195725191;-0.002398162396946565;-46.5;-14.549999999999999;-43.8;0.0;0.0;0.0
2.37;2025-05-04 11:22:49;978.1280660075874;40.09565794937254;118.04406553601557;-0.8283937744140625;-0.5123591552734374;0.21068974609375;-0.7602174798320612;0.2688606509465649;-0.002931087374045802;-47.25;-15.75;-41.25;0.0;0.0;0.0
2.51;2025-05-04 11:22:49;977.6434995510605;40.09565794937254;122.2128722192041;-0.7613561279296874;-0.0909796630859375;-0.028730419921875;-0.668820846259542;0.14602144372519085;0.08500153384732825;-48.3;-15.45;-40.949999999999996;0.0;0.0;0.0
2.64;2025-05-04 11:22:49;977.2133486771106;40.09258120078741;125.91493452069405;-0.6512228515624999;-0.6679822631835937;-0.411802685546875;-0.472704454687023;-0.06608269716030535;0.07354364683969467;-48.75;-12.75;-41.55;0.0;0.0;0.0
2.76;2025-05-04 11:22:50;977.2134355111411;40.09314060962106;125.91418705676877;-0.46208092041015625;-0.3711012573242187;-0.033518823242187495;-0.4588484052824428;-0.14255743137404583;0.07247779688549619;-48.75;-12.299999999999999;-42.3;0.0;0.0;0.0
2.89;2025-05-04 11:22:50;976.8016261686269;40.091742087536915;129.45963053304288;-0.37828386230468747;-0.5482721801757812;0.181959326171875;-0.4327350814045802;-0.04449923558778626;0.08739969624427482;-46.5;-12.75;-42.75;0.0;0.0;0.0
3.02;2025-05-04 11:22:50;976.466091343791;40.091742087536915;132.34928883612932;-0.29448680419921874;-0.5051765502929687;0.5410895751953124;-0.41594794462595425;0.11564472003053436;0.19425115415267177;-46.5;-11.549999999999999;-43.8;0.0;0.0;0.0
3.15;2025-05-04 11:22:50;976.193197958962;40.093700018454726;134.70006592852053;-0.17477672119140625;-0.5530605834960938;0.689530078125;-0.37038285908396945;0.2744563632061069;0.20943951600000002;-48.75;-12.299999999999999;-41.25;0.0;0.0;0.0
3.29;2025-05-04 11:22:50;976.1947166996719;40.103489673043796;134.68698161479506;-0.13407529296874998;-0.7350199096679687;0.02633621826171875;-0.3767779588091604;0.34480246018320615;0.47083921726717565;-46.35;-15.6;-39.6;0.0;0.0;0.0
3.41;2025-05-04 11:22:50;975.9058627203826;40.097056471456696;137.1758241949604;-0.016759411621093748;-0.38307226562499996;-0.06943184814453125;-0.3058989368549619;0.2699265009007634;0.6139295736183207;-48.9;-19.05;-39.3;0.0;0.0;0.0
3.54;2025-05-04 11:22:51;975.7566372679237;40.097056471456696;138.46182399298172;0.0143652099609375;-0.1292868896484375;-0.0909796630859375;-0.22036447803053438;0.1859908170076336;0.5974088993282443;-47.4;-22.2;-37.8;0.0;0.0;0.0
3.68;2025-05-04 11:22:51;975.539486411538;40.09593765378938;140.33347797687412;0.086191259765625;-0.30406361083984373;-0.05746083984375;-0.1782634048396947;0.08953139615267176;0.5262634148854962;-47.1;-27.15;-37.05;0.0;0.0;0.0
3.79;2025-05-04 11:22:51;975.5403105734363;40.10125203770916;140.3263737710512;0.15322890625;-0.2059013427734375;0.06943184814453125;-0.15135069349618321;0.07807350914503818;0.520134777648855;-45.75;-28.2;-37.65;0.0;0.0;0.0
