Timestamp,Pressure (hPa),Temperature (°C),Altitude (m),Accel_X (m/s²),Accel_Y (m/s²),Accel_Z (m/s²),Gyro_X (°/s),Gyro_Y (°/s),Gyro_Z (°/s),Mag_X (µT),Mag_Y (µT),Mag_Z (µT),GPS_Latitude,GPS_Longitude,GPS_Altitude (m)
2025-04-05 13:19:16,994.2814329444773,42.48405396468996,1.599677682552535,9.907206469726562,-0.39743747558593745,-0.1484405029296875,-0.01119142451908397,0.007194487190839696,-0.007194487190839696,-37.199999999999996,11.1,-24.75,0.0,0.0,0.0
2025-04-05 13:19:17,994.2845314032643,42.48852923535925,1.5733904307491553,9.892841259765625,-0.39264907226562495,-0.062249243164062495,-0.010125574564885496,0.003730474839694657,-0.0130566619389313,-36.6,9.75,-25.349999999999998,0.0,0.0,0.0
2025-04-05 13:19:18,994.2956700348591,42.49076687069389,1.478891088894424,9.890447058105469,-0.35673604736328124,-0.01915361328125,-0.01279019945038168,0.0034640123511450386,-0.007194487190839696,-37.199999999999996,12.75,-24.75,0.0,0.0,0.0
2025-04-05 13:19:19,994.2955927739945,42.48517278235728,1.4795465615064918,9.861716638183593,-0.32082302246093747,-0.1580173095703125,-0.012523736961832063,0.004529862305343512,-0.00799387465648855,-37.199999999999996,11.549999999999999,-24.45,0.0,0.0,0.0
2025-04-05 13:19:20,994.2979952966042,42.482655442605804,1.4591638451962308,9.873687646484374,-0.40462008056640625,-0.08858546142578125,-0.010658499541984735,-0.002398162396946565,-0.01119142451908397,-37.949999999999996,11.85,-24.0,0.0,0.0,0.0
2025-04-05 13:19:21,994.2934687231085,42.48181632935531,1.497566790021182,9.90241806640625,-0.32082302246093747,-0.13646949462890623,-0.008526799633587786,0.003730474839694657,-0.009059724610687023,-36.0,12.75,-23.7,0.0,0.0,0.0
2025-04-05 13:19:24,994.2947163996411,42.479578694020674,1.4869816273031489,9.888052856445311,-0.2059013427734375,-0.143652099609375,-0.018652374198473286,-0.0053292497709923675,-0.014655436870229008,-36.3,12.9,-23.55,0.0,0.0,0.0
2025-04-05 13:19:25,994.3041021620281,42.47062815268208,1.4073541041726112,9.852139831542969,-0.3902548706054687,-0.24181436767578124,-0.010658499541984735,0.008793262122137404,-0.008526799633587786,-37.949999999999996,11.549999999999999,-25.2,0.0,0.0,0.0
2025-04-05 13:19:26,994.3026354084591,42.471467265932574,1.4197978005226375,9.911994873046874,-0.34715924072265625,-0.1388636962890625,-0.011724349496183208,0.0061286372366412215,-0.00799387465648855,-37.199999999999996,12.299999999999999,-24.45,0.0,0.0,0.0
2025-04-05 13:19:27,994.3244688169393,42.47566283218504,1.2345682854052953,10.493785876464843,2.559401574707031,0.48123453369140623,0.04822971042748092,-0.05995405992366413,-0.015188361847328247,-36.3,11.4,-25.349999999999998,0.0,0.0,0.0
2025-04-05 13:19:28,992.3166918917283,42.46811081293062,18.281866881213904,30.660146459960934,2.916137622070312,0.3232172241210937,3.2860154087938938,-0.8406891513740459,-0.2976385997099237,-41.1,-11.4,-34.05,0.0,0.0,0.0
2025-04-05 13:19:29,987.2487036106625,42.45104884350394,61.436854638755584,8.48505068359375,2.4253262817382812,2.1547814941406247,2.8729985515419854,-0.05062787282442748,-0.15614701829007635,-40.949999999999996,-18.15,-13.5,0.0,0.0,0.0
2025-04-05 13:19:30,983.6638641217504,42.439301257997045,92.07096169966336,-1.7860744384765623,-1.675941162109375,0.5339069702148437,0.7996539281374047,0.11084839523664124,0.31975498625954196,-41.1,-8.25,-18.75,0.0,0.0,0.0
2025-04-05 13:19:31,980.9584495598298,42.45188795675443,115.24988652640249,-0.6943184814453125,0.22266075439453123,-0.09816226806640624,0.4338009313587787,-0.13669525662595422,0.30030322459541986,-41.699999999999996,-15.75,-20.099999999999998,0.0,0.0,0.0
2025-04-05 13:19:32,979.4065837004939,42.47314549243356,128.56903165641296,-0.2154781494140625,-0.25139117431640623,-0.02633621826171875,0.3932986330992367,0.0639509972519084,0.1337641692519084,-40.05,-25.2,-16.95,0.0,0.0,0.0
2025-04-05 13:19:33,978.9875039965129,42.468390517347444,132.1687826925344,0.0430956298828125,-0.316034619140625,-0.16280571289062498,0.04290046065648855,0.49801839109923673,0.7381010932824428,-24.45,-44.85,-2.85,0.0,0.0,0.0
2025-04-05 13:19:34,979.7703886225727,42.46922963059794,125.44508320380359,-0.49799394531249996,-0.13168109130859373,0.9313444458007812,-0.5246646399541985,-0.4687075173587787,-0.058088822503816806,18.15,-56.4,1.05,0.0,0.0,0.0
2025-04-05 13:19:35,980.8720302641956,48.87306225393701,115.99114565472566,12.856862915039061,-6.976703637695312,11.4538607421875,1.725877538335878,2.447191494839695,-0.6259203856030535,-24.3,-45.3,-38.85,0.0,0.0,0.0
2025-04-05 13:19:36,981.4905274865358,48.34805706354577,110.68716738302547,7.948749511718749,-0.5817910034179687,-2.2577321655273437,2.0181868882748093,3.7419327267022906,1.3171240809007634,-31.049999999999997,-29.099999999999998,-48.75,0.0,0.0,0.0
2025-04-05 13:19:37,982.1168625181057,47.832282118909944,105.31873254769033,8.86812294921875,4.4196962646484375,-0.2154781494140625,-0.49109036639694664,-2.5796233516488556,-1.0815712410229008,-15.75,16.8,-50.25,0.0,0.0,0.0
2025-04-05 13:19:38,982.7358005336717,47.87675512118602,100.01642147431892,10.996568225097656,-3.066972326660156,-1.8124106567382812,-6.1334335614351145,1.219065885114504,0.10418683302290078,-32.55,-14.399999999999999,-47.699999999999996,0.0,0.0,0.0
